state,avg_pct_diabetes,avg_pct_hypertension,avg_pct_heart_failure,avg_pct_ckd
AA,35.06,71.94,20.31,25.0
AE,24.92,68.12,16.34,21.41
AK,22.37,62.5,11.16,13.36
AL,33.02,72.16,18.83,26.54
AP,26.91,63.77,16.29,23.85
AR,29.38,70.86,18.48,21.58
AS,29.0,75.0,22.0,25.0
AZ,27.04,67.67,13.95,24.53
CA,30.61,65.36,17.14,23.08
CO,19.72,59.16,12.78,19.05
CT,26.47,67.53,19.01,22.15
DC,33.76,67.43,19.35,25.86
DE,32.36,70.46,16.51,25.4
FL,31.58,70.57,20.41,29.46
FM,29.0,57.0,0.0,0.0
GA,30.81,70.5,19.19,26.64
GU,54.3,73.79,27.08,37.61
HI,28.92,64.54,12.78,28.49
IA,24.37,66.23,15.29,21.32
ID,23.76,63.04,12.45,18.36
IL,31.23,68.79,20.85,25.28
IN,31.1,69.8,18.94,25.34
KS,27.53,68.92,16.55,22.41
KY,32.04,70.87,19.14,24.03
LA,32.65,71.31,18.3,24.85
MA,25.25,65.29,16.98,23.32
MD,32.51,69.39,16.33,23.59
ME,23.37,63.04,16.23,20.72
MI,30.37,67.91,19.97,25.15
MN,23.88,62.26,16.37,23.76
MO,30.07,69.54,19.9,26.12
MP,46.81,70.5,21.13,28.56
MS,34.64,73.03,18.41,23.54
MT,20.1,59.75,11.51,14.03
NC,30.14,68.64,17.57,25.5
ND,25.35,65.94,17.66,21.73
NE,25.03,68.0,17.18,23.16
NH,22.9,62.88,15.3,17.91
NJ,33.87,70.09,18.39,22.46
NM,28.97,63.51,12.69,18.85
NV,31.6,68.42,17.01,24.79
NY,33.39,67.65,17.93,22.15
OH,30.42,69.15,20.32,25.78
OK,32.28,71.42,19.61,25.11
OR,22.22,60.58,14.85,18.06
PA,29.58,69.02,19.16,25.88
PR,47.95,67.3,9.43,21.93
RI,25.79,67.79,16.62,20.85
SC,31.44,70.87,18.19,25.08
SD,25.94,66.93,14.69,20.75
TN,30.93,70.91,17.77,25.39
TX,32.73,70.21,19.24,26.12
UT,25.67,63.25,14.68,22.91
VA,29.4,68.57,17.87,23.34
VI,35.58,67.77,6.97,15.9
VT,20.96,56.69,12.07,13.67
WA,22.69,61.88,14.92,19.51
WI,25.37,64.69,17.3,24.54
WV,35.38,71.69,19.9,25.49
WY,21.72,60.14,11.17,12.77
XX,30.47,69.44,18.59,23.59
ZZ,28.04,66.61,20.05,26.12
