state,provider_count,total_medicare_payment,avg_medicare_payment,total_beneficiaries
CA,101978,13535165704.28,132726.33,33957407
FL,82249,10784177166.2,131116.21,30752045
TX,83942,8805329618.45,104897.78,26666835
NY,86326,7342590627.66,85056.54,23712270
IL,50014,5084973099.3,101670.99,19925926
PA,61927,4501966162.28,72697.95,17150645
NJ,38193,4447819768.68,116456.41,13844941
AZ,25442,3634006684.09,142834.95,8292491
MD,25836,3227023504.32,124904.15,9307688
NC,43046,3205880326.9,74475.68,13364177
VA,31662,3025227456.68,95547.58,10669715
OH,51374,3015321783.66,58693.54,13385944
GA,35743,2822010263.87,78952.81,9899826
MA,37713,2727644585.08,72326.38,11763512
TN,29224,2567967154.7,87871.86,8628583
MI,42941,2510277105.09,58458.75,10056976
SC,19922,2033323883.45,102064.24,6898141
IN,26054,1948936378.28,74803.73,7471817
WA,28484,1881423260.77,66051.93,7151179
MO,24606,1738109249.22,70637.62,7016666
CO,22183,1698131365.64,76551.02,5786563
AL,17899,1634777755.56,91333.47,5625117
WI,26298,1487919860.6,56579.2,6560061
MN,28588,1350979355.18,47256.87,6268521
OK,13474,1307202564.98,97016.67,4548851
LA,17392,1305351950.92,75054.73,4412956
KS,12094,1176753626.86,97300.61,4207223
MS,9931,1167359480.19,117547.02,3613716
NV,9298,1162829298.44,125062.3,2848760
KY,18827,1151796145.16,61177.89,4672615
AR,10700,1117102696.5,104402.12,3597140
CT,17943,1093564929.94,60946.6,4236408
OR,15594,983948711.57,63097.9,3390197
IA,12675,937845927.08,73991.79,3566884
UT,10115,746365707.24,73788.01,2119524
NE,8788,735595361.48,83704.52,2529428
ID,6834,560278116.74,81983.92,2376830
DE,4797,511867588.43,106705.77,1770347
NM,6815,464935091.43,68222.32,1620007
NH,7325,424621380.84,57968.79,2034541
WV,7511,407707646.64,54281.41,1889649
MT,4909,296657532.19,60431.36,1271986
ME,6992,290225843.29,41508.27,1323648
SD,4633,280985968.63,60648.82,1212231
DC,4068,274268451.76,67420.96,960529
RI,5233,274052824.41,52370.12,1270977
AK,3043,265677102.31,87307.62,685933
HI,4381,250043660.06,57074.56,1005127
ND,4110,226923734.21,55212.59,1065171
WY,2266,163616317.89,72204.91,573387
VT,2982,134063110.3,44957.45,691510
PR,4277,81075972.9,18956.27,335902
GU,216,21779536.86,100831.19,58159
AE,74,13179991.14,178107.99,94486
VI,177,12136419.87,68567.34,39398
XX,32,4519997.12,141249.91,8605
ZZ,77,1988378.48,25823.1,12535
AP,66,1876199.84,28427.27,15962
MP,32,1097303.54,34290.74,3301
AA,16,699000.0,43687.5,11489
FM,1,34108.03,34108.03,42
AS,1,7069.49,7069.49,96
